Accession	Title	Series Type	Taxonomy	Sample Count	Datasets	Supplementary Types	Supplementary Links	PubMed ID	SRA Accession	Contact	Release Date
GSE112676	"Whole blood transcriptome analysis in amyotrophic lateral sclerosis: a biomarker study [HT12_V3]"	"Expression profiling by array"	"Homo sapiens"	741		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE112nnn/GSE112676/suppl"			"Jan Herman Veldink"	"Apr 05, 2018"
GSE112681	"Whole blood transcriptome analysis in amyotrophic lateral sclerosis: a biomarker study"	"Expression profiling by array"	"Homo sapiens"	1117						"Jan Herman Veldink"	"Apr 05, 2018"
GSE98895	"Gene expression profiles of PBMCs in healthy subjects (CTRL) and patients with Metabolic Syndrome (MS)  - PART 1 - Genes"	"Expression profiling by array"	"Homo sapiens"	40		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE98nnn/GSE98895/suppl"	29584810		"Antonio Moschetta"	"Mar 28, 2018"
GSE98897	"Gene expression profiles of PBMCs in healthy subjects (CTRL) and patients with Metabolic Syndrome (MS)"	"Expression profiling by array;Non-coding RNA profiling by array"	"Homo sapiens"	80				29584810		"Antonio Moschetta"	"Mar 28, 2018"
GSE112307	"Microarray analysis of subcutaneous adipose tissue obtained in 27 moderate obese women"	"Expression profiling by array"	"Homo sapiens"	54		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE112nnn/GSE112307/suppl"			"veronique PELLOUX"	"Mar 27, 2018"
GSE84426	"Molecular subtypes in gastric cancer. [I]"	"Expression profiling by array"	"Homo sapiens"	76		"IDAT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84426/suppl"			"Yong-Min Huh"	"Mar 20, 2018"
GSE84433	"Molecular subtypes in gastric cancer. [II]"	"Expression profiling by array"	"Homo sapiens"	357		"IDAT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84433/suppl"			"Yong-Min Huh"	"Mar 20, 2018"
GSE84437	"Molecular subtypes in gastric cancer."	"Expression profiling by array"	"Homo sapiens"	433		"IDAT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84437/suppl"			"Yong-Min Huh"	"Mar 20, 2018"
GSE103357	"Characterization of a novel breast cancer cell line derived from a metastatic bone lesion of a breast cancer patient [gene expression]"	"Expression profiling by array"	"Homo sapiens"	5		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE103nnn/GSE103357/suppl"	29468485		"Fares Al-Ejeh"	"Feb 23, 2018"
GSE37013	"Genome-wide analysis of Ischaemia-Reperfusion damage in human bowel"	"Expression profiling by array"	"Homo sapiens"	28		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE37nnn/GSE37013/suppl"			"Marco Manca"	"Feb 09, 2018"
GSE30288	"IER5 is a novel Notch target gene that contributes to the effects of Notch on breast cancer stem / progenitor cells"	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE30nnn/GSE30288/suppl"			"Suraj Menon"	"Jan 08, 2018"
GSE103897	"Characterization of a novel breast cancer cell line derived from a metastatic bone lesion of a breast cancer patient"	"Expression profiling by array;Genome variation profiling by SNP array"	"Homo sapiens"	7		"IDAT;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE103nnn/GSE103897/suppl"	29468485		"Fares Al-Ejeh"	"Jan 01, 2018"
GSE89377	"Identifying novel drivers of human hepatocellular carcinoma and revealing clinical relevance as early diagnostic and prognostic biomarker"	"Expression profiling by array"	"Homo sapiens"	107		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE89nnn/GSE89377/suppl"			"JUNGWOO EUN"	"Dec 31, 2017"
GSE96703	"Time-dependent regulation of cellular programming of monocytes by NCOR2 [Illumina array]"	"Expression profiling by array;Third-party reanalysis"	"Homo sapiens"	51		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE96nnn/GSE96703/suppl"	29262348		"Joachim Schultze"	"Dec 19, 2017"
GSE96719	"Time-dependent regulation of cellular programming of monocytes by NCOR2"	"Expression profiling by array;Expression profiling by high throughput sequencing"	"Homo sapiens"	77				29262348		"Joachim Schultze"	"Dec 19, 2017"
GSE106128	"Molecular Signatures Associated with Prolonged Survival In Melanoma Patients Treated with Dendritic Cell-Based Immunotherapy"	"Expression profiling by array"	"Homo sapiens"	47		"IDAT;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106128/suppl"			"Franziska Matthäus"	"Oct 25, 2017"
GSE87630	"Integrated analysis of genomic and epigenomic regulation of transcriptome identifies molecular subtypes of liver cancer (gene expression)"	"Expression profiling by array"	"Homo sapiens"	94		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87630/suppl"	29018224		"Hyun Goo Woo"	"Oct 05, 2017"
GSE63134	"The effects of HNF1b over-expression in PC3 cells"	"Expression profiling by array"	"Homo sapiens"	14		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63134/suppl"	27732966		"Chandra Chilamakuri"	"Aug 25, 2017"
GSE101288	"Elucidation of transcription alteration in peripheral blood of SCA12 patients"	"Expression profiling by array"	"Homo sapiens"	24		"IDAT;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101288/suppl"			"Mohammed Faruq"	"Jul 19, 2017"
GSE101286	"Gene expression profiling of idiopathic interstitial pneumonias (IIPs): identification of potential diagnostic markers and therapeutic targets"	"Expression profiling by array"	"Homo sapiens"	15		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101286/suppl"	28821283		"Yasushi Horimasu"	"Jul 13, 2017"
GSE65409	"Elevated acid ceramidase promotes acute myeloid leukemia blast survival through sphingolipid dysregulation and Mcl-1 upregulation"	"Expression profiling by array"	"Homo sapiens"	38		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65409/suppl"	27825124		"Stephen Turner"	"Jun 19, 2017"
GSE73255	"CRIS, a superior predictive and prognostic classification system of colorectal cancer based on high-resolution analysis of cancer cell-autonomous traits"	"Expression profiling by array"	"Homo sapiens"	193		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE73nnn/GSE73255/suppl"	28561063		"Enzo Medico"	"Jun 19, 2017"
GSE68883	"miR-875-5p overexpression in DU145 prostate cancer cells"	"Expression profiling by array"	"Homo sapiens"	6		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68883/suppl"	28274892		"Matteo Dugo"	"Jun 01, 2017"
GSE97293	"Genome-wide multi-omics profiling reveals extensive genetic complexity in 8p11-p12 amplified breast carcinomas"	"Expression profiling by array;Genome variation profiling by genome tiling array;Expression profiling by high throughput sequencing"	"Homo sapiens"	106		"GPR;IDAT;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97293/suppl"	24662924		"Toshima Z. Parris"	"Mar 31, 2017"
GSE97177	"Genome-wide multi-omics profiling reveals extensive genetic complexity in 8p11-p12 amplified breast carcinomas [expression]"	"Expression profiling by array"	"Homo sapiens"	53		"IDAT;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97177/suppl"	20551037;24662924;28877888		"Toshima Z. Parris"	"Mar 30, 2017"
GSE80614	"Gene expression analyses of the differentiating hMSC into Osteoblasts and Adipocytes."	"Expression profiling by array"	"Homo sapiens"	66		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE80nnn/GSE80614/suppl"	28344004		"Jeroen van de Peppel"	"Mar 15, 2017"
GSE77386	"Whole-transcriptome gene expression profiling in TRPC1-silenced hepatocellular carcinoma cells."	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE77nnn/GSE77386/suppl"	27443843		"Cigdem Selli"	"Feb 14, 2017"
GSE77618	"Whole-transcriptome gene expression profiling in TRPC1-silenced cells"	"Expression profiling by array"	"Homo sapiens"	12				27443843		"Cigdem Selli"	"Feb 14, 2017"
GSE87629	"Genome-wide analysis of B and T cell gene expression during a six-week gluten challenge in patients with celiac disease"	"Expression profiling by array"	"Homo sapiens"	146		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87629/suppl"	28508029		"Mitchell E Garber"	"Jan 27, 2017"
GSE26899	"Characterization of gene expression profiles of gastric cancer in the Korea University cohort"	"Expression profiling by array"	"Homo sapiens"	108		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE26nnn/GSE26899/suppl"			"Sangbae Kim"	"Dec 31, 2016"
GSE26901	"Characterization of gene expression profiles of gastric cancer in Kosin University cohort"	"Expression profiling by array"	"Homo sapiens"	109		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE26nnn/GSE26901/suppl"			"Sangbae Kim"	"Dec 31, 2016"
GSE26942	"Characterization of gene expression profiles of gastric cancer"	"Expression profiling by array"	"Homo sapiens"	217						"Sangbae Kim"	"Dec 31, 2016"
