Accession	Title	Series Type	Taxonomy	Sample Count	Datasets	Supplementary Types	Supplementary Links	PubMed ID	SRA Accession	Contact	Release Date
GSE40396	Whole blood transcriptional signature distinguishes viral infection from bacterial infection in febrile young children.	Expression profiling by array	Homo sapiens	65	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE40nnn/GSE40396/suppl	23858444	NA	Jinsheng Yu	Oct 15, 2012
GSE87494	Gene array analysis of human adult lung antigen presenting cells.	Expression profiling by array	Homo sapiens	19	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87494/suppl	NA	NA	Kaibo Duan	Dec 19, 2016
GSE61397	The transcriptional profile of human CD8+ lung resident memory T-cells	Expression profiling by array	Homo sapiens	28	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61397/suppl	27776108	NA	Perry D Moerland	Oct 23, 2016
GSE109824	Genome-wide analysis of hepatic cells upon infection with Hepatitis B virus (HBV) or Hepatitis D virus (HDV)	Expression profiling by array	Homo sapiens	9	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109824/suppl	29524530	NA	Yi Ni	Jan 30, 2018
GSE63746	Genome-wide analysis of fatty acid synthase (FASN) gene silenced retinoblastoma cancer cells (WERI RB1) using cDNA microarray analysis	Expression profiling by array	Homo sapiens	8	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63746/suppl	NA	NA	madavan vasudevan	Dec 01, 2015
GSE41563	Somatic copy-number mosaicism in human skin revealed by induced pluripotent stem cells	Expression profiling by array	Homo sapiens	31	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE41nnn/GSE41563/suppl	23160490	NA	Flora Vaccarino	Oct 19, 2012
GSE44407	Gene expression profile in offspring born before vs. after maternal bariatric surgery	Expression profiling by array	Homo sapiens	46	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE44nnn/GSE44407/suppl	23716672;25603303	NA	Frederic Guenard	May 16, 2013
GSE54606	Gene expression analysis of A549 (adenocarcinomic human alveolar basal epithelial cells) exposed to obese visceral exosomes	Expression profiling by array	Homo sapiens	22	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54606/suppl	25518011	NA	Robert Freishtat	May 14, 2015
GSE48672	Heat-shock factor 2 is a suppressor of prostate cancer invasion	Expression profiling by array	Homo sapiens	18	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE48nnn/GSE48672/suppl	26119944	NA	Matthias Nees	Dec 23, 2013
GSE44794	Gene expression of LY6E-silent THP-1 cells and control THP-1 cells	Expression profiling by array	Homo sapiens	2	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE44nnn/GSE44794/suppl	25225669	NA	Xuan Xu	Sep 06, 2014
GSE99929	Single-cell mass cytometry reveals the impact of graphene nanomaterials with human primary immune cells	Expression profiling by array	Homo sapiens	18	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99929/suppl	29061960	NA	Lucia Gemma Delogu	Aug 13, 2017
GSE69631	Tumor-initiating cell-specific miR-1246 and miR-1290 converge to promote non-small cell lung cancer progression	Non-coding RNA profiling by array;Expression profiling by array	Homo sapiens	28	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69631/suppl	NA	NA	Henry Yang	Nov 30, 2015
GSE40411	The miRNA miR-139-5p is a regulator of metastatic pathways in breast cancer.	Expression profiling by array	Homo sapiens	6	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE40nnn/GSE40411/suppl	24158791	NA	Nicole Cloonan	Dec 01, 2013
GSE57445	The aging microenvironment promotes melanoma cell invasion and therapy resistance	Expression profiling by array	Homo sapiens	27	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE57nnn/GSE57445/suppl	27042933	NA	Kevin G Becker	Apr 08, 2016
GSE38406	Differential functional effects of Indomethacin along the human fetal intestine	Expression profiling by array	Homo sapiens	16	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE38nnn/GSE38406/suppl	23261704	NA	Jean-François Beaulieu	Jan 01, 2013
GSE78789	Human NPY/AgRP hypothalamic cell lines for study of obesity susceptibility	Expression profiling by array	Homo sapiens	18	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE78nnn/GSE78789/suppl	28071834	NA	Hung-I Harry Chen	Feb 22, 2018
GSE62374	Age-associated Changes in Basal NF-κB Function in Human CD4+ T Lymphocytes via Dysregulation of PI3 Kinase (dataset 4)	Expression profiling by array	Homo sapiens	32	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62374/suppl	25553802	NA	Kevin G Becker	Jan 08, 2015
GSE41962	Gene expression in a three-dimensionally cultivated human hepatocellular carcinoma (HCC) model	Expression profiling by array	Homo sapiens	9	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE41nnn/GSE41962/suppl	NA	NA	Uta Fernekorn	Nov 01, 2012
GSE50788	Pouch transcriptional differences between UC and FAP indicate altered immune response.	Expression profiling by array	Homo sapiens	36	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE50nnn/GSE50788/suppl	NA	NA	Krzysztof Goryca	May 01, 2014
GSE49348	A novel function for the melanocortin 1 receptor: positive regulation of cell migration in human artery endothelial cells	Expression profiling by array	Homo sapiens	48	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE49nnn/GSE49348/suppl	26613582	NA	Gualtiero Ivanoe Colombo	Sep 30, 2015
GSE56937	Genome-wide expression profiling after acute radiation doses in recurrent U87-MG cells	Expression profiling by array	Homo sapiens	39	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56937/suppl	28542439	NA	J. Tyson McDonald	May 22, 2017
GSE104849	New role of ID3 in melanoma adaptive drug-resistance	Expression profiling by array	Homo sapiens	28	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE104nnn/GSE104849/suppl	29299138	NA	Lionel Larribere	Feb 16, 2018
GSE84638	Comparison of gene expression in megakaryocytes derived from primary myelofibrosis or healthy individuals	Expression profiling by array	Homo sapiens	24	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84638/suppl	28240607	NA	John Crispino	Feb 10, 2017
GSE54661	Identification of hypoxia target genes in human CB CD34+ cells	Expression profiling by array	Homo sapiens	2	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54661/suppl	NA	NA	JJ Schuringa	Mar 01, 2014
GSE56164	Effect of nutritive conditions, adhesion and EMT on transcriptional profile of HMECs transduced by an oncogene RAS and SNAI1, SNAI2 or SNAI3	Expression profiling by array	Homo sapiens	24	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56164/suppl	NA	NA	Anne Wierinckx	Dec 31, 2015
GSE74460	Genome-wide analysis of basal gene expression in pediatric acute lymphoblastic leukemia xenograft cells	Expression profiling by array	Homo sapiens;Mus musculus	6	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE74nnn/GSE74460/suppl	26960974;27302164	NA	Duohui Jing	Apr 01, 2016
GSE51448	Gene expression analysis of estrogen receptor mutants, S463P, Y537S and D538G in MCF7 cells	Expression profiling by array	Homo sapiens	36	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE51nnn/GSE51448/suppl	24185512	NA	Sarat Chandarlapaty	Oct 25, 2013
